"word";"F";"BOISSY_APOLOGIEDUSIECLE";"BOISSY_COMTEDENEUILLY";"BOISSY_DEHORSTROMPEURS";"BOISSY_MEDECINPAROCCASION";"BOISSY_PLAGIAIRE";"BOISSY_RIVALFAVORABLE";"BOISSY_VIEESTUNSONGE";"DANCOURT_ENFANTSDEPARIS";"DANCOURT_MADAMEARTUS";"DANCOURT_METEMPSYCHOSE";"DANCOURT_SANCHO";"DANCOURT_TRAHISONPUNIE";"DUFRESNY_COQUETTEDUVILLAGE";"DUFRESNY_FAUXSINCERE";"DUFRESNY_MARIAGEFAITETROMPU";"DUFRESNY_RECONCILIATIONNORMANDE";"NIVELLE_ECOLEDESAMIS";"NIVELLE_ECOLEMERES";"NIVELLE_FAUSSEANTIPATHIE";"NIVELLE_GOUVERNANTE";"NIVELLE_PREJUGEALAMODE";"REGNARD_DEMOCRITE";"REGNARD_DISTRAIT";"REGNARD_FOLIESAMOUREUSES";"REGNARD_JOUEUR";"REGNARD_LEGATAIRE";"REGNARD_MENECHMES";"VOLTAIRE_DEPOSITAIRE";"VOLTAIRE_DROITDUSEIGNEUR";"VOLTAIRE_ENFANTPRODIGUE";"VOLTAIRE_ENVIEUX";"VOLTAIRE_FEMMEQUIARAISON";"VOLTAIRE_NANINE"
"non";963;6;20;42;18;22;37;19;38;40;17;31;50;30;48;35;43;27;27;14;34;33;18;24;19;49;25;15;18;42;34;32;17;39
"tous";947;13;17;27;34;12;16;23;21;24;37;43;26;9;39;28;39;33;27;34;24;33;31;21;30;37;48;37;40;38;42;22;22;20
"tu";947;0;5;32;28;19;50;35;44;13;9;22;52;18;36;13;27;55;41;17;15;58;36;34;27;42;50;28;21;42;42;17;7;12
"madame";945;2;19;15;20;23;44;3;51;133;1;21;30;6;29;18;22;33;25;38;20;48;10;30;3;51;21;20;75;17;28;26;22;41
"amour";942;5;31;29;28;20;62;21;14;15;52;8;24;29;70;11;57;32;28;20;42;53;38;47;26;56;17;21;12;10;33;10;10;11
"vos";929;8;39;30;21;21;26;43;17;41;25;30;25;9;23;7;20;43;25;30;35;24;39;49;14;31;33;32;39;35;41;15;23;36
"trop";920;2;31;41;23;15;35;39;17;25;35;22;15;10;43;8;19;42;34;32;59;63;23;37;17;25;31;18;34;26;30;20;16;33
"ses";882;23;41;33;27;19;26;21;23;27;23;18;23;4;21;12;18;43;32;39;21;34;27;39;25;36;42;27;32;42;37;17;8;22
"peut";843;7;36;23;28;12;27;21;27;27;34;26;31;5;30;11;23;45;48;35;38;43;20;29;32;21;28;32;23;21;15;15;9;21
"ces";823;13;15;22;14;20;14;23;18;17;42;32;12;4;26;21;14;26;32;21;17;37;56;30;45;30;33;26;43;32;39;21;12;16
"comme";822;8;10;28;27;19;16;17;51;25;24;23;43;18;51;18;31;29;37;11;19;13;39;33;24;28;36;33;19;29;19;12;16;16
"sont";811;18;12;29;29;25;23;17;17;18;24;37;27;3;25;7;14;65;29;28;35;23;29;20;21;36;25;31;39;30;23;13;14;25
"ici";809;2;11;20;24;11;10;9;29;45;51;30;44;7;53;18;19;20;34;16;10;19;41;39;24;29;25;35;22;33;22;15;26;16
"quel";789;4;19;17;22;11;17;22;25;35;23;23;41;4;24;7;22;28;33;10;41;40;21;22;26;31;18;35;25;23;33;21;22;44
"-il";758;2;13;17;15;10;13;11;28;15;27;21;41;11;28;18;17;47;45;20;36;30;19;29;20;31;35;21;18;31;36;22;12;19
"peu";753;2;7;14;10;7;8;5;31;35;34;20;26;5;34;19;16;31;36;19;18;31;24;31;21;33;51;30;31;33;28;23;24;16
"quoi";753;3;7;27;10;5;14;8;30;37;19;19;39;10;24;14;21;38;46;38;38;40;25;10;13;25;25;22;17;33;26;17;17;36
"où";700;8;24;24;14;8;16;11;13;20;22;29;24;4;15;11;12;39;40;33;37;33;46;15;22;20;30;32;13;26;20;16;7;16
"quand";692;2;17;24;22;10;17;13;22;20;21;29;34;12;35;14;17;33;26;20;28;22;23;26;25;40;19;23;19;25;26;7;14;7
"veux";690;6;5;20;16;21;36;16;23;11;15;32;18;16;22;14;16;25;19;12;16;24;30;47;31;43;31;19;19;22;21;17;7;20
"bon";689;8;1;21;15;2;19;2;35;41;19;36;28;14;38;12;29;22;22;16;9;17;35;34;14;32;37;23;30;23;15;16;13;11
"-je";681;4;16;23;14;11;11;20;17;11;22;24;33;12;36;17;15;58;30;21;39;56;14;19;6;16;21;10;5;25;22;15;6;32
"avez";663;7;15;23;10;5;12;13;28;36;18;22;28;21;24;11;14;29;29;17;29;22;18;32;18;22;27;30;22;22;15;12;13;19
"dit";659;1;7;14;12;4;17;6;35;25;8;23;15;33;53;25;39;20;14;16;17;18;15;32;24;19;24;17;33;26;24;12;10;21
"deux";655;1;13;14;12;7;15;4;20;23;12;23;30;17;56;21;42;13;26;12;8;14;20;22;11;30;38;21;40;18;27;16;12;17
"jamais";647;7;11;21;14;2;17;12;21;18;21;28;18;8;19;14;10;21;33;38;37;29;17;22;14;36;28;19;29;20;18;14;9;22
"te";642;0;4;15;20;12;29;21;26;11;12;21;32;5;24;12;18;35;35;10;3;38;32;29;15;26;34;22;16;24;30;10;9;12
"cet";628;2;11;31;27;14;15;25;18;16;15;17;28;2;24;3;19;22;22;13;18;38;30;15;19;20;20;24;17;16;31;20;19;17
"fort";627;3;9;24;14;5;7;6;66;28;21;34;33;9;20;11;10;11;23;7;9;14;21;27;19;29;31;32;19;20;12;6;29;18
"moins";625;0;11;21;27;10;18;12;16;25;14;17;34;11;48;18;19;46;31;25;25;26;7;10;10;19;11;7;12;17;36;14;12;16
"autre";602;5;12;18;12;6;12;4;20;21;13;20;34;13;35;18;28;29;28;21;25;29;24;35;26;14;13;25;11;12;18;13;3;5
"puis";600;3;23;39;27;13;18;11;13;24;20;30;17;8;21;17;13;30;21;18;26;23;16;11;12;27;20;14;18;17;16;11;7;16
"ou";595;7;5;24;16;13;14;10;23;23;15;50;50;3;32;8;13;22;29;27;10;15;12;12;14;30;24;22;10;11;30;9;6;6
"voir";593;3;17;31;24;13;18;20;28;11;12;20;22;8;26;25;24;18;18;11;18;12;25;35;20;33;22;24;10;12;7;5;15;6
"voilà";591;3;2;21;29;9;16;7;29;19;19;23;21;6;17;15;18;16;13;15;19;23;29;36;18;28;42;30;22;13;10;4;11;8
"toujours";567;9;12;10;14;7;11;6;17;15;18;20;7;9;24;19;16;23;34;27;19;21;23;32;8;34;12;19;27;12;24;16;14;8
"eh";561;0;8;10;5;7;9;6;1;2;0;0;0;9;15;11;16;43;74;16;69;33;2;16;13;19;8;1;34;32;27;22;18;35
"avoir";556;2;8;13;11;8;13;18;20;28;15;25;15;9;25;14;17;30;26;14;36;24;18;16;12;25;26;17;8;24;13;5;5;16
"quelque";555;0;4;9;5;2;0;3;42;37;25;28;34;10;17;6;19;11;10;11;6;14;29;35;34;24;25;44;15;16;8;17;10;5
"-moi";544;2;11;15;19;7;18;11;22;14;8;16;17;10;15;18;18;20;25;15;22;21;16;19;9;24;23;15;15;26;23;14;8;28
"esprit";529;16;11;31;26;8;29;8;12;12;7;11;8;10;32;8;12;6;20;10;9;10;35;40;28;11;15;22;22;22;11;15;3;9
"mieux";525;6;5;13;18;13;17;5;17;17;17;16;15;11;25;8;17;24;28;19;9;27;29;23;23;23;24;16;11;18;10;9;5;7
"homme";517;10;4;27;19;8;7;4;16;13;4;24;6;4;29;10;21;17;15;15;5;8;29;25;24;19;18;24;29;8;15;28;14;18
"cela";516;0;0;8;8;1;3;0;59;40;11;37;33;10;29;10;16;16;9;14;3;8;25;20;19;19;21;8;22;25;10;10;14;8
"vois";516;3;12;21;16;6;13;15;14;7;14;8;16;17;38;9;27;18;15;10;17;17;25;25;18;16;15;27;13;18;19;9;12;6
"sais";508;1;8;9;13;4;11;6;26;21;9;17;34;6;12;7;6;27;19;17;14;20;34;23;17;25;28;22;16;19;15;12;7;3
"aime";502;1;12;21;12;13;19;13;22;18;14;9;13;13;31;5;18;15;19;22;15;15;14;30;10;26;4;10;16;21;16;4;15;16
"dont";494;4;11;25;9;10;11;32;19;14;18;16;14;0;17;6;3;14;16;16;22;29;18;17;19;16;21;20;14;13;15;21;5;9
"enfin";491;5;4;8;8;4;15;8;15;19;9;23;21;6;31;13;26;16;12;19;29;21;14;16;11;19;22;22;15;10;22;13;8;7
"êtes";478;2;14;22;15;10;22;10;12;16;13;14;17;5;13;6;16;26;12;9;21;7;24;30;17;23;14;26;16;13;9;5;9;10
"ton";477;1;6;29;19;12;27;40;15;8;1;9;13;2;24;8;12;10;20;5;3;26;10;21;12;20;20;10;10;26;27;13;9;9
"même";465;8;20;25;21;9;16;12;11;20;19;10;20;0;29;9;28;19;21;8;11;24;16;11;14;11;13;16;11;9;9;5;4;6
"tant";465;2;10;12;4;5;7;9;19;18;13;18;16;16;23;4;10;9;12;16;12;20;24;15;17;24;24;22;20;21;14;8;10;11
"-même";463;3;14;27;16;11;27;20;24;14;15;22;16;9;17;7;9;26;16;12;37;14;11;7;4;11;11;8;13;10;8;5;9;10
"père";463;1;6;21;10;0;0;32;52;7;2;4;45;17;2;0;7;3;27;0;28;4;10;6;1;22;3;16;14;32;50;3;28;10
"fille";458;0;19;17;15;2;3;0;29;17;5;1;21;10;12;1;2;4;45;11;11;5;21;23;12;6;23;14;36;24;19;4;32;14
"aussi";456;4;4;6;16;5;8;4;20;18;14;24;19;6;23;9;22;13;19;11;10;21;16;22;12;20;26;16;9;15;18;7;15;4
"crois";456;2;0;12;2;10;9;2;20;23;16;8;24;8;22;7;15;18;13;11;4;22;22;18;16;19;26;29;20;19;8;8;12;11
"grand";453;3;14;14;25;6;7;10;15;9;11;51;16;8;8;8;11;12;13;8;17;10;14;12;13;20;20;9;28;19;9;12;7;14
"va";453;2;11;16;14;5;15;10;15;12;7;6;22;8;13;6;22;29;17;19;7;19;18;15;13;20;20;9;21;18;14;7;11;12
"-tu";451;2;2;6;14;5;14;14;25;12;0;1;23;1;9;4;13;21;26;7;4;26;20;32;15;33;16;13;17;20;26;12;9;9
"dire";449;4;10;17;7;5;21;5;16;19;8;9;19;7;28;9;17;12;14;16;9;15;23;26;20;21;22;18;15;10;8;7;6;6
"ils";448;7;7;13;23;9;8;9;14;15;26;21;7;5;13;14;23;30;17;11;19;22;20;5;9;7;23;8;17;12;9;11;6;8
"temps";446;9;10;15;13;8;11;9;18;16;14;10;13;2;14;7;12;21;16;7;19;14;15;14;23;20;18;26;15;15;21;5;5;11
