"frpos";"F";"BOISSY_APOLOGIEDUSIECLE";"BOISSY_COMTEDENEUILLY";"BOISSY_DEHORSTROMPEURS";"BOISSY_MEDECINPAROCCASION";"BOISSY_PLAGIAIRE";"BOISSY_RIVALFAVORABLE";"BOISSY_VIEESTUNSONGE";"DANCOURT_ENFANTSDEPARIS";"DANCOURT_MADAMEARTUS";"DANCOURT_METEMPSYCHOSE";"DANCOURT_SANCHO";"DANCOURT_TRAHISONPUNIE";"DUFRESNY_COQUETTEDUVILLAGE";"DUFRESNY_FAUXSINCERE";"DUFRESNY_MARIAGEFAITETROMPU";"DUFRESNY_RECONCILIATIONNORMANDE";"NIVELLE_ECOLEDESAMIS";"NIVELLE_ECOLEMERES";"NIVELLE_FAUSSEANTIPATHIE";"NIVELLE_GOUVERNANTE";"NIVELLE_PREJUGEALAMODE";"REGNARD_DEMOCRITE";"REGNARD_DISTRAIT";"REGNARD_FOLIESAMOUREUSES";"REGNARD_JOUEUR";"REGNARD_LEGATAIRE";"REGNARD_MENECHMES";"VOLTAIRE_DEPOSITAIRE";"VOLTAIRE_DROITDUSEIGNEUR";"VOLTAIRE_ENFANTPRODIGUE";"VOLTAIRE_ENVIEUX";"VOLTAIRE_FEMMEQUIARAISON";"VOLTAIRE_NANINE"
"PRE NOMcom VERcjg";642;8;16;17;12;10;12;9;10;17;15;26;21;6;35;12;24;29;26;22;31;28;16;29;20;26;27;22;27;29;24;16;7;13
"VERcjg PROper ADVneg";633;2;6;17;19;13;21;11;26;16;15;18;22;10;11;9;22;35;27;22;33;27;29;21;19;27;25;23;18;28;19;19;12;11
"NOMcom ADVgen PROper";627;3;11;11;23;16;16;8;40;24;20;26;27;16;32;16;26;15;12;15;12;17;12;30;23;20;23;25;20;19;24;21;10;14
"NOMcom CONcoo DETdef";625;13;18;32;22;9;28;15;7;18;23;28;10;9;19;8;19;22;26;18;30;13;34;18;24;20;24;23;18;16;31;7;13;10
"PRE ADJqua NOMcom";621;10;6;12;18;6;11;6;28;37;26;33;25;8;19;10;17;12;29;15;7;15;24;24;26;29;48;30;26;18;14;16;5;11
"VERcjg ADVgen CONsub";617;9;9;14;14;9;19;11;17;8;20;30;27;12;38;10;19;30;25;19;19;32;26;32;21;22;29;21;18;15;11;13;5;13
"CONsub DETpos NOMcom";615;4;26;31;26;16;12;35;14;12;18;12;23;6;16;7;17;25;33;12;20;29;21;26;8;25;23;22;23;21;20;10;7;15
"VERppe DETpos NOMcom";611;3;19;23;24;14;15;29;10;19;19;8;12;2;21;10;20;31;28;16;27;27;21;22;14;14;16;22;24;22;39;10;16;14
"DETdef NOMcom PRE.DETdef";607;19;18;28;28;14;18;19;19;13;20;49;11;10;25;8;23;15;21;10;25;17;15;16;17;19;18;21;15;24;17;17;11;7
"NOMcom ADJqua PRE";600;19;14;20;23;11;19;22;11;12;19;28;16;5;27;12;6;27;20;15;18;22;21;12;24;17;23;21;18;26;23;18;11;20
"VERcjg PROper PRE";598;2;11;14;16;12;16;13;25;17;23;26;25;5;22;16;9;29;31;14;26;24;15;25;17;15;25;21;16;15;17;18;19;19
"VERppe DETdef NOMcom";598;10;25;26;13;9;17;16;13;16;29;21;13;9;20;14;17;36;28;13;15;27;27;20;15;16;25;17;17;16;21;13;10;14
"ADVneg PROadv VERcjg";591;2;4;18;19;8;13;11;28;1;18;38;27;19;14;13;6;48;46;24;38;14;18;18;20;20;17;10;25;15;8;8;10;13
"NOMcom ADJqua CONcoo";586;17;24;31;10;15;22;30;11;8;21;21;7;2;20;6;12;17;17;18;12;14;21;20;15;19;34;30;29;21;27;12;9;14
"PRE DETind NOMcom";577;10;14;12;12;5;11;10;26;53;17;25;22;3;16;7;15;23;21;18;14;18;33;19;31;32;29;20;16;16;12;9;2;6
"PROint VERcjg PROper";576;1;16;14;15;6;9;17;17;7;14;10;16;9;20;12;16;36;42;20;36;30;14;11;18;22;14;10;10;33;25;15;9;32
"DETdem ADJqua NOMcom";573;6;14;15;13;8;9;16;20;17;17;26;5;6;20;11;9;14;25;13;11;25;34;17;13;20;19;20;36;33;22;26;13;20
"ADVgen PROper PROper";570;1;6;18;16;16;9;4;30;26;17;18;20;15;36;14;28;20;22;14;18;21;17;15;16;15;11;19;21;25;17;18;10;17
"ADVneg VERcjg PROper";565;2;13;21;25;9;13;13;19;8;20;17;16;7;18;5;10;38;29;14;21;27;25;18;10;32;25;20;13;15;19;17;9;17
"PROadv VERcjg ADVgen";565;2;6;16;18;11;16;5;26;19;24;28;20;10;22;14;11;18;35;10;26;26;23;16;10;22;15;19;27;14;12;12;16;16
"PROdem VERcjg DETndf";563;0;4;26;13;11;10;6;44;16;20;18;25;5;14;18;11;26;19;12;16;25;23;27;6;24;13;19;31;20;26;8;10;17
"VERinf PRE DETpos";562;3;13;24;12;15;12;26;21;17;16;16;11;4;10;11;12;28;22;19;22;19;21;23;24;26;29;16;12;27;22;9;10;10
"ADJqua NOMcom CONcoo";548;11;11;27;18;7;15;17;20;26;17;27;20;8;19;9;19;18;15;7;6;15;25;18;22;21;32;23;21;13;13;8;12;8
"DETpos NOMcom DETpos";548;0;27;19;14;16;20;18;15;28;13;12;13;2;17;9;14;27;18;11;19;15;12;18;7;21;9;12;16;25;45;20;16;20
"VERcjg ADVneg PRE";548;3;10;18;9;4;14;3;20;18;28;27;28;6;16;4;9;35;30;21;18;20;21;26;24;19;15;27;25;12;13;5;10;10
"NOMcom PRE DETdem";547;14;20;19;17;10;20;28;14;17;19;23;10;3;10;8;11;15;15;4;10;16;25;19;26;20;29;27;24;20;19;13;13;9
"ADVgen ADJqua PRE";544;11;11;21;16;10;14;18;17;8;12;15;13;6;20;9;13;23;18;18;28;34;22;27;14;25;15;12;22;18;15;12;13;14
"DETdem NOMcom VERcjg";543;5;15;11;21;10;17;28;11;33;14;17;20;6;17;12;12;26;18;15;13;31;15;12;16;19;15;15;10;26;31;9;10;13
"PROper ADVneg PROper";540;3;15;17;12;8;15;7;20;15;14;22;25;18;17;10;29;24;20;14;30;32;18;22;10;19;16;25;20;14;7;6;9;7
"VERcjg ADVgen VERinf";539;6;16;20;14;7;21;7;18;31;16;21;13;9;19;16;17;26;16;18;14;22;12;27;15;20;29;15;21;14;10;9;13;7
"VERinf PRE PROper";517;3;18;22;16;6;18;21;18;25;22;11;16;7;22;9;17;26;25;16;25;18;14;20;5;14;18;19;17;15;9;5;9;11
"DETndf NOMcom PROper";514;2;9;14;13;11;20;4;17;19;17;11;21;12;25;9;15;27;13;10;15;17;19;17;22;29;21;25;16;14;12;12;6;20
"VERcjg NOMcom PRE";511;5;7;21;21;11;15;14;26;22;18;27;17;8;22;12;10;13;21;15;15;16;20;25;10;16;25;16;16;10;10;10;14;3
"NOMpro PROper VERcjg";508;2;7;6;18;7;27;9;19;28;20;20;27;13;19;17;27;18;11;10;10;20;11;17;7;16;18;13;23;18;13;17;15;5
"VERcjg DETdem NOMcom";507;3;11;25;27;15;21;9;8;18;2;16;17;5;15;16;15;23;21;12;22;25;13;23;11;18;18;13;15;14;20;8;12;16
"PROper PROper PROper";504;2;7;30;14;7;11;4;19;24;11;24;26;13;25;6;30;31;17;8;23;13;16;15;7;11;17;16;14;16;18;11;5;13
"CONsub DETndf NOMcom";500;4;14;11;13;8;12;21;10;5;5;18;17;10;26;10;15;16;27;17;23;22;24;27;16;27;16;17;12;11;19;12;3;12
"PROper VERinf ADVgen";500;4;9;22;15;6;15;10;20;18;30;16;16;12;14;12;15;24;23;12;16;27;17;17;21;20;15;11;14;13;13;8;5;10
"DETpos NOMcom CONsub";499;7;20;19;12;14;12;21;23;14;17;19;16;4;10;6;10;25;20;12;17;19;17;15;17;29;25;13;5;21;18;9;2;11
"ADVgen PRE PROper";497;5;9;23;17;8;13;8;12;27;22;22;22;10;19;7;20;19;24;11;18;19;15;17;14;16;8;24;11;13;7;15;5;17
"CONsub PROper ADVneg";496;1;14;20;12;6;17;8;19;13;8;35;18;9;16;8;21;28;25;9;26;21;19;20;16;15;28;19;10;8;5;11;6;5
"DETpos NOMcom DETdef";491;10;20;30;22;11;13;23;10;14;17;21;13;1;9;5;9;22;19;8;26;13;17;18;13;16;20;12;14;14;23;10;9;9
"NOMcom VERcjg DETdef";489;12;16;21;15;29;22;14;10;7;9;23;16;5;18;8;13;14;15;10;19;9;14;8;13;17;18;19;19;21;20;13;7;15
"PRE VERinf DETpos";487;3;21;21;22;13;21;25;17;9;22;14;7;2;8;7;14;24;23;16;18;14;16;18;10;15;18;14;17;13;20;9;10;6
"VERcjg ADJqua PRE";486;10;16;17;24;16;18;20;12;12;17;24;17;12;16;8;13;24;18;14;15;17;14;11;15;18;5;8;12;14;15;11;8;15
"PROper PROper PROadv";481;1;7;19;16;8;19;1;24;14;18;25;24;10;18;7;14;25;25;16;17;19;21;17;11;18;15;11;9;17;7;7;12;9
"PROind ADVneg VERcjg";480;4;15;17;21;9;11;7;13;14;11;18;19;0;16;7;11;32;28;22;19;26;19;10;20;13;13;14;16;18;7;10;11;9
"ADJqua NOMcom PROrel";467;18;12;15;16;8;12;23;26;21;23;14;9;5;14;4;4;12;19;8;11;11;15;15;9;15;20;15;22;23;12;12;9;15
"NOMcom ADJqua VERcjg";466;11;21;15;18;11;14;26;7;40;5;18;5;7;10;9;8;21;12;13;29;19;10;12;12;6;16;12;15;16;14;18;4;12
"NOMcom DETdem NOMcom";466;7;7;12;17;13;16;17;11;26;13;14;15;3;15;15;15;11;15;8;12;22;16;14;13;21;11;13;11;21;33;9;10;10
"PROdem VERcjg PRE";465;3;5;17;22;6;24;12;13;13;10;16;11;11;18;11;23;29;18;18;24;24;10;9;4;9;15;9;17;22;13;13;5;11
"VERcjg CONcoo PROper";463;4;9;21;13;7;19;8;18;15;11;19;19;7;20;11;19;20;12;10;15;16;13;20;9;17;23;17;14;24;13;7;1;12
"DETdem NOMcom ADJqua";458;8;14;22;20;8;15;31;4;8;7;10;6;1;11;10;7;28;18;13;22;26;22;10;19;11;12;10;12;16;22;17;6;12
"DETind DETdef NOMcom";458;16;6;19;20;6;7;26;19;8;25;24;15;2;4;5;3;9;16;15;10;17;16;16;20;20;24;17;24;17;12;8;3;9
"NOMcom ADVgen PRE";458;2;9;16;15;5;9;8;15;21;16;23;20;10;26;9;24;5;12;8;12;8;19;17;16;21;20;20;24;11;10;13;7;7
"PROdem VERcjg ADVgen";455;7;4;12;9;9;10;7;20;12;17;25;20;16;31;11;9;24;10;15;9;25;24;10;12;12;15;10;9;17;18;10;7;9
"PRE NOMcom CONsub";454;10;10;10;8;3;15;9;20;8;11;22;16;14;17;7;15;18;18;13;15;17;21;21;19;14;21;17;13;17;11;9;5;10
"ADVneg VERcjg CONsub";451;2;13;19;18;7;17;16;9;2;13;23;20;8;17;7;9;28;25;20;31;24;15;18;11;17;13;13;8;7;5;4;6;6
"CONcoo PROper PROper";450;6;10;18;15;9;18;5;22;15;10;28;24;11;21;8;16;16;9;9;12;15;12;17;10;14;12;16;18;16;9;8;8;13
"DETpos NOMcom ADVneg";447;4;18;20;11;9;17;10;19;11;9;6;18;2;9;5;8;25;22;15;18;17;21;19;9;27;16;17;5;16;12;7;8;17
"PROper VERcjg PROind";446;4;8;8;16;8;6;4;9;16;9;19;18;3;23;13;19;31;19;11;19;22;13;11;24;11;11;12;20;13;12;13;10;11
"DETdem NOMcom PRE";444;3;5;13;14;9;23;8;15;13;15;19;18;1;8;11;16;12;19;8;11;16;22;17;13;31;17;16;19;15;15;11;7;4
"VERcjg VERcjg PROper";437;1;6;6;16;6;17;9;19;18;8;16;14;8;18;10;21;25;14;8;20;16;18;12;13;15;16;12;15;19;14;6;4;17
"PRE.DETdef NOMcom PROper";436;5;8;10;18;5;10;6;16;13;12;14;17;11;19;12;21;15;19;13;19;22;10;21;13;17;19;15;12;17;5;9;7;6
"DETdem NOMcom ADVgen";429;6;2;18;16;6;15;7;20;21;10;16;18;5;16;8;10;8;14;8;6;24;20;22;15;17;15;14;11;12;17;12;7;13
"NOMcom CONcoo DETpos";428;0;18;19;18;6;24;16;9;12;4;12;8;4;5;8;6;22;24;17;13;9;13;14;12;15;12;15;15;19;20;10;18;11
"ADVgen ADVgen PRE";425;4;9;14;7;5;15;5;22;13;14;16;16;8;22;8;15;9;9;9;7;17;24;11;21;21;19;23;10;13;8;12;8;11
"VERcjg ADVneg ADVgen";423;0;5;18;8;4;8;3;22;21;13;20;18;10;10;5;10;18;30;8;19;17;20;23;11;19;21;15;12;11;6;6;6;6
"VERcjg CONsub PRE";423;3;11;11;15;4;19;9;19;11;28;18;20;4;15;5;13;14;16;5;13;17;18;19;14;23;15;11;11;10;7;14;7;4
"VERcjg ADVgen DETdef";421;8;4;20;13;14;14;10;12;9;15;14;14;7;16;8;11;14;17;16;14;16;17;15;10;9;15;16;16;19;11;7;9;11
"VERcjg VERppe DETdef";420;2;17;18;7;9;13;9;7;14;19;17;12;8;13;10;13;31;17;12;17;18;15;16;12;10;11;12;10;13;15;10;3;10
"PROper VERcjg PRE.DETdef";419;4;10;17;16;12;19;13;18;9;11;16;16;9;11;2;14;21;14;18;15;17;5;16;13;20;14;10;14;13;12;6;5;9
"ADVgen ADJqua CONcoo";418;10;21;27;22;6;8;10;8;20;7;9;10;2;13;5;9;9;20;7;13;19;13;12;17;9;21;15;18;18;10;14;7;9
"PRE VERinf DETdef";417;5;10;21;21;10;20;20;9;9;26;21;6;3;11;11;12;22;15;7;8;11;12;17;19;9;11;12;16;12;4;9;14;4
"DETpos NOMcom INJ";415;1;13;6;14;3;7;6;10;19;1;0;17;5;2;7;17;14;30;14;22;21;13;15;6;24;9;13;20;19;20;12;14;21
"DETdef ADVgen ADJqua";414;9;21;18;13;10;20;8;13;11;18;21;8;6;13;8;7;20;30;17;32;12;13;6;17;8;4;8;5;6;12;6;4;10
"CONsub PROind VERcjg";413;9;4;10;8;4;8;2;14;9;7;35;13;4;21;9;15;19;21;14;16;16;18;10;19;17;14;7;11;17;12;10;9;11
"NOMcom PROper PROadv";406;2;9;12;15;12;15;5;18;4;18;13;15;8;14;5;8;19;23;8;16;16;16;8;12;16;21;14;24;10;8;8;5;9
"PRE NOMcom ADVgen";405;3;4;8;11;6;5;3;13;12;16;22;25;7;24;11;18;11;16;10;8;11;20;12;14;19;13;17;17;12;11;12;8;6
"PRE PROper PRE";405;0;15;9;7;4;15;12;17;21;14;14;17;12;18;7;14;12;11;13;18;11;11;19;3;12;14;17;17;14;9;17;6;5
"VERcjg ADJqua CONcoo";402;5;14;21;15;9;17;8;13;13;14;19;14;7;20;7;9;20;7;8;4;8;4;15;6;9;16;14;18;22;18;10;10;8
"NOMcom VERcjg DETpos";400;3;12;17;15;10;14;22;9;11;11;18;10;1;14;7;10;10;16;12;9;10;13;6;9;9;15;17;17;12;24;11;13;13
"VERcjg VERppe ADVgen";399;1;3;17;15;5;10;6;18;24;14;14;10;14;24;11;8;16;8;7;8;11;8;11;12;14;24;18;16;15;8;7;7;15
"ADJqua PRE VERinf";397;6;9;12;16;5;13;19;14;6;11;24;13;1;16;5;9;20;20;13;14;15;16;18;17;11;9;12;9;10;10;6;7;11
"ADVgen ADJqua PROper";396;1;9;20;17;10;21;6;9;4;7;9;4;4;11;8;4;24;24;10;23;25;16;7;16;12;10;9;23;9;12;10;7;15
"NOMcom CONcoo VERcjg";394;12;16;23;20;11;23;17;11;22;9;15;17;6;8;7;5;3;15;5;9;4;7;14;10;16;11;16;11;12;10;8;8;13
"PROper ADVneg PROadv";389;1;2;11;13;6;9;4;24;0;9;22;19;16;12;10;3;32;28;14;25;11;12;15;15;14;13;6;15;6;3;7;8;4
"PROper VERinf CONcoo";389;7;13;28;12;5;6;6;15;16;14;14;12;5;9;4;6;20;13;15;18;15;16;15;12;13;19;11;6;12;7;10;2;13
"NOMcom PROind VERcjg";388;10;9;7;12;4;11;4;8;31;12;18;13;4;17;10;17;22;17;9;8;16;18;11;13;23;9;5;8;10;12;8;9;3
"ADVgen ADVgen PROper";387;0;3;13;13;6;13;3;26;13;12;21;17;9;19;3;12;8;19;9;7;9;16;22;10;19;10;15;9;15;9;4;14;9
"PROdem ADVneg VERcjg";386;2;3;7;10;3;9;4;19;3;12;25;20;7;7;12;7;23;28;19;14;15;24;18;9;17;13;13;15;7;7;7;4;3
"NOMcom CONcoo CONsub";381;4;12;14;5;9;7;18;12;15;16;20;22;4;7;4;5;11;12;4;10;7;23;23;13;25;23;20;11;9;5;5;3;3
"NOMcom VERppe PRE";381;6;15;6;8;5;9;20;5;16;6;9;14;4;10;9;4;7;14;11;10;6;23;13;14;25;16;11;13;15;23;14;10;10
"PROper PROadv VERinf";380;3;7;25;12;9;14;14;18;8;19;20;24;3;7;5;10;21;30;10;17;21;15;9;5;12;10;8;6;5;4;3;3;3
"VERppe PRE DETpos";378;0;14;16;18;5;11;15;10;14;12;5;11;2;6;9;5;20;10;8;14;16;14;11;11;15;17;17;16;14;16;8;11;7
"INJ PROper VERcjg";375;3;4;5;11;10;3;3;12;4;2;3;10;11;9;13;32;7;15;13;12;10;9;18;9;28;11;5;20;21;18;11;14;19
"PRE DETndf ADJqua";375;7;16;24;10;8;11;20;8;13;15;15;15;4;6;12;10;16;12;9;11;10;14;9;5;14;16;11;11;16;6;7;10;4
"NOMcom ADVgen ADVgen";373;2;3;12;10;7;2;7;18;16;9;15;26;5;13;4;13;5;11;8;3;13;13;22;15;19;24;21;11;10;13;7;8;8
"VERcjg ADJqua PROper";373;2;5;17;23;10;24;4;11;13;9;11;13;10;13;10;13;21;13;10;15;19;6;15;12;14;4;5;14;17;7;3;3;7
"VERcjg PRE DETndf";373;4;10;22;19;6;11;12;10;17;12;7;8;5;11;7;10;15;14;7;15;13;13;12;7;20;16;10;13;10;12;6;7;12
"VERinf PRE DETdef";373;12;5;20;11;5;5;14;14;11;11;21;11;4;9;5;9;8;15;11;13;18;13;15;12;16;22;15;10;14;5;7;5;7
"VERinf PRE.DETdef NOMcom";372;6;16;14;7;6;14;12;12;16;9;10;12;5;8;8;12;15;16;13;10;12;5;15;17;13;12;19;11;13;12;9;5;8
"ADVneg VERcjg PROind";370;2;8;17;12;1;8;7;16;8;14;17;18;7;19;5;6;14;17;8;18;15;15;6;10;10;8;11;21;18;8;6;8;12
"VERcjg VERppe DETpos";369;3;15;15;15;9;6;13;4;13;12;6;8;1;9;5;15;15;18;11;23;17;12;12;8;7;9;12;15;16;26;6;8;5
"CONcoo CONsub PROper";367;4;10;14;10;4;15;9;19;12;11;23;16;4;9;6;5;13;15;2;14;12;16;17;10;16;23;18;17;8;10;2;0;3
"NOMcom PRE NOMpro";366;2;12;8;22;2;23;8;12;6;10;12;16;8;11;14;25;18;7;15;4;9;6;17;6;18;6;12;11;12;6;14;3;11
"NOMcom VERcjg DETndf";365;4;15;13;11;12;9;16;8;15;13;8;11;5;4;5;8;13;20;21;14;9;8;12;6;16;9;4;16;12;18;10;4;16
"PROper VERcjg INJ";364;1;11;3;8;10;8;6;13;12;4;5;17;5;15;7;15;18;16;8;17;16;4;12;11;23;11;3;9;20;24;7;9;16
"VERcjg PRE DETdem";364;6;19;15;19;10;14;16;10;5;8;12;17;2;9;2;6;6;16;7;10;7;27;18;17;15;13;13;8;11;14;5;4;3
"DETndf NOMcom VERcjg";360;0;12;14;8;10;14;10;7;5;11;10;10;7;17;9;16;12;24;10;15;26;6;17;13;14;7;7;8;12;12;10;1;6
"PROper PROper VERinf";358;1;14;15;17;5;21;12;8;7;7;10;13;7;16;4;7;28;11;13;23;15;14;6;4;15;13;7;7;9;7;5;6;11
"PRE DETpos ADJqua";356;2;14;11;12;8;9;7;10;19;7;23;7;2;6;4;6;7;18;7;5;5;11;17;12;17;10;11;21;20;16;13;13;6
"DETind DETpos NOMcom";355;5;15;9;14;5;9;11;13;12;11;10;2;3;9;9;12;20;13;8;19;15;14;13;10;15;14;12;12;13;15;3;6;4
"VERcjg VERinf DETdef";355;5;12;22;13;11;20;15;10;10;9;18;5;9;7;8;14;12;8;15;6;11;10;11;16;10;8;8;13;8;11;5;7;8
"CONcoo PROper ADVneg";353;4;4;21;12;2;10;4;17;5;13;17;13;13;10;6;8;18;14;9;13;15;18;14;12;11;12;17;13;14;6;1;1;6
"PROper DETpos NOMcom";353;3;9;15;5;8;9;9;13;14;8;6;11;2;15;3;16;15;20;9;19;9;6;8;6;10;13;19;16;14;18;4;7;14
"NOMcom VERcjg VERinf";352;3;10;16;8;6;20;23;9;10;8;17;10;4;9;9;9;14;10;14;8;14;4;16;14;9;14;7;10;17;8;5;6;11
"ADJqua CONcoo ADJqua";351;5;5;16;4;2;8;4;9;8;12;18;13;4;12;10;12;17;11;7;6;10;12;9;9;9;23;17;14;14;25;9;10;7
"DETdef PROind VERcjg";351;4;3;10;3;1;12;3;10;0;13;18;8;6;20;7;9;26;18;15;16;20;21;14;12;7;15;6;6;11;12;14;6;5
"ADVgen PROper VERinf";350;2;9;11;12;10;6;6;10;5;9;6;13;13;10;5;11;16;9;11;15;19;9;18;16;17;18;7;8;9;15;12;3;10
"ADVgen PRE DETpos";349;0;8;8;8;5;7;8;10;13;8;9;11;6;14;6;12;11;9;8;9;10;14;13;7;18;25;13;14;15;18;4;11;17
"VERcjg PROper VERppe";349;0;5;15;4;5;4;6;9;6;10;4;18;7;11;9;9;27;33;8;20;22;7;13;8;9;15;5;10;18;12;5;3;12
"PROrel PROper PROper";347;4;8;11;6;4;8;14;22;14;15;18;22;6;6;5;8;13;15;13;21;13;17;10;6;6;18;13;14;5;5;5;2;0
"VERcjg VERinf DETpos";345;1;15;11;6;8;14;14;10;5;11;6;14;3;11;8;12;11;14;15;17;11;10;16;7;15;12;14;9;7;18;4;6;10
"PROper VERcjg PROdem";344;2;1;10;7;6;10;5;19;20;12;15;18;9;12;9;9;14;8;18;12;18;11;12;8;9;16;4;10;15;11;2;6;6
"VERppe PRE NOMcom";343;4;10;9;8;1;11;6;8;17;12;10;9;6;15;7;11;10;18;7;7;10;20;11;10;12;12;16;17;10;15;12;7;5
"DETdef NOMcom ADVneg";342;2;10;10;11;4;15;9;5;7;18;21;12;3;15;3;5;16;14;11;24;16;11;8;12;13;12;12;10;5;8;6;4;10
"DETndf NOMcom CONcoo";341;3;6;16;14;7;2;6;10;13;8;12;21;8;7;4;8;11;9;8;8;17;11;14;16;14;16;18;9;14;15;5;4;7
"VERcjg VERppe VERinf";341;3;8;7;6;7;10;20;15;31;8;7;12;5;11;4;9;27;15;13;13;16;9;6;8;8;16;5;12;12;7;5;0;6
"CONcoo PRE NOMcom";340;3;6;10;8;0;8;9;8;19;11;13;12;5;12;11;14;11;11;7;10;18;9;15;12;10;14;12;13;12;9;12;9;7
"NOMcom CONsub PRE";338;6;11;13;10;3;8;9;13;13;9;22;16;2;10;7;14;9;9;4;15;11;15;5;14;15;14;10;11;12;17;5;2;4
"PRE.DETdef NOMcom PROrel";338;5;19;16;17;3;8;18;8;9;6;18;12;2;11;6;6;12;13;11;13;17;4;15;9;7;16;17;8;6;13;5;2;6
"VERcjg PROdem PROrel";338;1;5;3;3;4;10;3;15;14;10;14;21;10;22;6;8;19;13;22;16;16;11;11;7;7;19;6;6;7;7;8;6;8
"VERppe PRE PROper";338;1;9;11;10;5;15;11;7;22;11;6;18;6;9;1;14;17;20;5;15;8;8;10;10;13;12;9;13;12;13;5;6;6
"ADJqua PROper PROper";336;1;3;14;17;7;12;8;12;14;8;5;6;6;20;8;9;23;13;6;17;15;9;12;9;11;10;6;8;15;12;3;6;11
"ADVgen VERppe PRE";335;5;6;8;8;4;5;8;8;16;13;18;12;3;10;4;6;12;13;9;14;13;14;20;9;19;13;14;15;8;7;6;6;9
"PRE VERinf ADVgen";335;9;6;10;9;5;9;8;21;10;12;14;12;6;15;4;5;11;16;11;8;11;14;9;17;18;6;20;6;8;10;3;7;5
"VERcjg PRE ADVgen";335;7;3;5;17;9;7;4;7;15;8;8;15;7;17;5;11;10;11;3;17;14;6;16;14;15;17;17;9;6;14;8;6;7
"PROdem VERcjg PROper";334;2;3;9;13;10;11;5;16;11;13;14;18;6;9;12;6;19;9;19;11;9;8;5;8;8;14;12;10;9;15;8;7;5
"VERinf ADVgen PRE";333;3;8;15;9;1;9;10;16;15;16;11;11;7;17;4;11;10;13;6;10;16;18;10;11;9;9;13;9;9;11;3;7;6
"ADVgen ADJqua CONsub";332;4;14;6;14;9;11;9;12;4;10;17;13;3;9;6;5;13;25;8;7;21;13;9;6;14;13;13;10;10;8;9;5;2
"PRE DETcar NOMcom";332;2;5;26;15;4;10;5;9;14;2;14;10;3;18;10;17;3;12;1;3;2;10;22;17;18;24;11;11;3;9;7;10;5
"ADVgen PRE DETdef";331;5;6;12;11;5;8;7;11;8;9;16;13;10;22;8;14;11;12;4;7;7;6;7;14;15;16;18;12;8;8;7;5;9
"CONsub PROind PROper";331;7;2;8;10;7;11;6;11;6;7;37;11;3;15;6;7;14;16;10;11;16;7;8;12;4;16;11;12;9;5;7;5;14
"PRE VERinf DETndf";331;3;10;12;5;6;11;11;11;5;8;13;12;3;7;5;5;9;23;17;14;20;15;12;16;13;21;11;6;4;6;3;2;12
"ADVgen VERcjg PROper";328;1;1;7;10;2;9;7;21;7;9;13;19;9;14;9;10;11;13;8;13;11;9;10;13;11;8;14;18;7;14;3;8;9
"PROind VERcjg PRE";327;4;6;8;10;2;5;8;9;13;15;19;12;2;8;7;11;20;21;9;8;14;19;8;14;12;10;3;7;15;10;6;9;3
"ADJqua CONsub PROper";326;3;14;19;16;6;10;13;13;4;9;17;15;6;9;8;9;12;20;6;10;13;11;8;5;14;12;8;10;6;6;7;3;4
"PRE ADVgen PRE";326;5;14;8;7;1;5;4;12;13;11;10;11;2;22;2;4;10;19;4;15;9;15;7;13;10;19;19;9;11;9;11;5;10
"PROadv VERcjg PROper";326;1;3;10;13;3;9;0;24;16;10;9;17;3;12;2;15;24;20;14;17;15;11;5;12;10;12;5;12;13;5;0;3;1
"VERinf DETdem NOMcom";325;3;8;12;8;8;10;8;11;8;4;5;13;2;10;10;12;20;20;9;13;18;13;15;13;9;13;7;7;9;6;9;4;8
"PROdem VERcjg DETdef";323;6;8;16;16;12;13;8;12;5;11;14;9;17;9;16;12;15;16;9;6;12;4;8;5;6;5;7;10;15;4;9;4;4
"NOMcom CONcoo ADVgen";320;3;5;15;9;4;7;2;8;21;11;26;6;4;11;4;8;12;22;11;9;8;8;13;13;12;7;11;12;10;10;9;6;3
"VERcjg ADVgen DETpos";316;2;6;6;10;8;11;8;11;11;7;5;5;8;13;9;16;8;9;14;14;8;17;9;9;11;11;9;11;17;11;6;8;8
"ADJqua PRE DETpos";315;6;9;23;11;3;6;7;7;13;5;10;6;3;8;1;6;19;7;7;6;13;14;10;6;14;8;6;12;22;18;4;11;14
"PROper DETdef NOMcom";315;0;13;12;9;8;12;16;8;6;6;16;8;4;16;4;12;14;14;4;14;13;9;12;7;10;11;6;7;14;12;7;5;6
"VERcjg VERppe CONsub";315;3;6;14;12;4;5;3;16;13;3;12;12;11;17;8;9;13;16;6;15;14;12;10;10;7;13;7;11;12;7;6;3;5
"NOMcom ADJqua NOMcom";311;7;2;10;10;7;3;19;15;22;9;14;10;8;16;11;11;5;5;6;8;9;11;9;6;11;10;8;11;5;14;7;8;4
"VERcjg ADVneg VERppe";311;0;7;13;9;3;4;5;13;23;14;4;12;6;6;8;6;14;19;9;11;12;14;13;3;11;9;11;8;10;10;7;8;9
"VERcjg PROper PROadv";311;4;6;11;14;6;12;5;15;2;8;18;16;5;7;5;15;22;18;8;17;18;11;4;6;8;5;4;10;8;11;6;3;3
"DETpos NOMcom NOMcom";310;3;8;11;14;12;11;11;16;16;7;16;18;3;16;11;11;8;4;5;2;9;8;9;7;17;10;10;9;9;3;7;7;2
