"frpos";"F";"BOISSY_APOLOGIEDUSIECLE";"BOISSY_COMTEDENEUILLY";"BOISSY_DEHORSTROMPEURS";"BOISSY_MEDECINPAROCCASION";"BOISSY_PLAGIAIRE";"BOISSY_RIVALFAVORABLE";"BOISSY_VIEESTUNSONGE";"DANCOURT_ENFANTSDEPARIS";"DANCOURT_MADAMEARTUS";"DANCOURT_METEMPSYCHOSE";"DANCOURT_SANCHO";"DANCOURT_TRAHISONPUNIE";"DUFRESNY_COQUETTEDUVILLAGE";"DUFRESNY_FAUXSINCERE";"DUFRESNY_MARIAGEFAITETROMPU";"DUFRESNY_RECONCILIATIONNORMANDE";"NIVELLE_ECOLEDESAMIS";"NIVELLE_ECOLEMERES";"NIVELLE_FAUSSEANTIPATHIE";"NIVELLE_GOUVERNANTE";"NIVELLE_PREJUGEALAMODE";"REGNARD_DEMOCRITE";"REGNARD_DISTRAIT";"REGNARD_FOLIESAMOUREUSES";"REGNARD_JOUEUR";"REGNARD_LEGATAIRE";"REGNARD_MENECHMES";"VOLTAIRE_DEPOSITAIRE";"VOLTAIRE_DROITDUSEIGNEUR";"VOLTAIRE_ENFANTPRODIGUE";"VOLTAIRE_ENVIEUX";"VOLTAIRE_FEMMEQUIARAISON";"VOLTAIRE_NANINE"
"NOMcom ADJqua PROper";674;9;22;42;31;15;29;29;18;18;11;19;12;3;30;14;18;25;16;15;20;21;30;23;30;29;29;14;27;20;21;16;6;12
"DETdef NOMcom ADVgen";668;9;15;19;32;15;21;18;23;18;22;39;18;13;23;13;30;15;17;16;13;25;30;25;28;29;27;30;23;16;13;15;10;8
"DETdef NOMcom DETdef";667;21;21;26;36;15;27;14;14;15;33;33;20;8;22;8;18;20;33;11;28;16;28;15;14;18;19;22;32;23;15;12;12;18
"VERinf PRE NOMcom";665;8;15;20;25;10;26;10;19;27;21;33;24;13;23;17;15;16;31;13;22;25;19;28;32;32;28;18;23;16;15;15;14;12
"PRE VERinf PRE";662;11;7;23;24;5;28;22;32;21;30;30;19;6;16;10;15;24;36;19;30;17;22;26;26;24;29;25;15;19;15;15;13;8
"VERcjg VERinf PRE";659;5;15;21;18;15;16;25;22;28;22;22;17;11;26;13;23;27;29;28;23;20;13;31;30;23;26;20;19;29;6;12;10;14
"DETdem NOMcom PROper";658;2;17;22;32;21;31;9;17;27;20;20;31;3;24;13;19;18;27;16;18;23;21;34;19;35;27;31;16;11;13;4;17;20
"VERppe PROper VERcjg";658;4;19;21;27;12;24;9;23;26;11;21;24;17;27;18;24;30;32;11;18;26;17;28;11;22;23;25;24;19;19;12;15;19
"DETndf NOMcom PROrel";651;12;29;32;20;14;15;18;24;18;22;18;18;3;12;8;9;36;24;29;31;52;23;18;19;19;30;23;16;18;20;7;8;6
"VERcjg PRE.DETdef NOMcom";645;8;13;21;25;22;27;17;20;19;16;33;20;14;20;8;23;36;26;23;19;25;7;26;18;32;24;14;22;24;14;9;9;11
