"frlemma";"F";"BOISSY_APOLOGIEDUSIECLE";"BOISSY_COMTEDENEUILLY";"BOISSY_DEHORSTROMPEURS";"BOISSY_MEDECINPAROCCASION";"BOISSY_PLAGIAIRE";"BOISSY_RIVALFAVORABLE";"BOISSY_VIEESTUNSONGE";"DANCOURT_ENFANTSDEPARIS";"DANCOURT_MADAMEARTUS";"DANCOURT_METEMPSYCHOSE";"DANCOURT_SANCHO";"DANCOURT_TRAHISONPUNIE";"DUFRESNY_COQUETTEDUVILLAGE";"DUFRESNY_FAUXSINCERE";"DUFRESNY_MARIAGEFAITETROMPU";"DUFRESNY_RECONCILIATIONNORMANDE";"NIVELLE_ECOLEDESAMIS";"NIVELLE_ECOLEMERES";"NIVELLE_FAUSSEANTIPATHIE";"NIVELLE_GOUVERNANTE";"NIVELLE_PREJUGEALAMODE";"REGNARD_DEMOCRITE";"REGNARD_DISTRAIT";"REGNARD_FOLIESAMOUREUSES";"REGNARD_JOUEUR";"REGNARD_LEGATAIRE";"REGNARD_MENECHMES";"VOLTAIRE_DEPOSITAIRE";"VOLTAIRE_DROITDUSEIGNEUR";"VOLTAIRE_ENFANTPRODIGUE";"VOLTAIRE_ENVIEUX";"VOLTAIRE_FEMMEQUIARAISON";"VOLTAIRE_NANINE"
"vue";97;0;4;4;6;2;2;1;3;11;6;0;4;0;2;0;0;6;4;2;4;3;5;5;2;3;4;3;1;4;4;0;0;2
"chose";96;0;0;3;4;2;1;0;6;7;4;5;6;2;5;2;4;5;3;1;0;1;2;7;4;1;3;0;3;6;1;4;3;1
"heureux";96;2;5;3;3;4;3;4;3;2;4;1;1;3;1;0;5;8;3;1;6;5;3;1;0;5;2;0;1;8;1;4;3;1
"écrire";95;0;0;12;5;4;3;0;4;2;0;1;0;1;0;3;0;2;1;4;5;4;1;8;2;1;12;3;1;6;3;3;2;2
"savoir";94;0;2;2;1;1;2;1;11;5;1;1;4;0;3;3;5;6;6;4;3;1;4;4;2;6;0;3;3;2;6;0;1;1
"sortir";94;0;5;4;4;1;2;3;3;3;0;1;3;0;0;0;2;4;8;1;13;5;3;1;3;2;4;1;3;2;4;2;1;6
"venir";94;0;0;3;2;0;2;0;9;6;1;1;7;2;2;3;4;1;12;1;5;5;2;1;1;8;5;2;2;2;1;2;1;1
"instruire";93;1;5;5;6;0;4;3;2;8;4;2;2;0;3;2;3;7;2;4;2;5;4;1;0;1;4;2;4;1;1;4;0;1
"paraître";93;0;0;6;4;1;2;4;7;3;5;1;3;2;5;2;1;3;3;2;0;1;7;4;2;5;3;0;2;3;3;6;2;1
"devoir";91;1;4;6;1;1;1;5;2;3;2;5;2;0;2;2;2;9;1;2;7;1;7;0;2;2;1;4;3;3;4;1;1;4
"tout";91;0;1;2;3;2;1;0;5;4;2;1;3;1;3;2;4;4;9;1;5;1;1;4;1;4;3;0;10;3;3;2;4;2
"maîtresse";90;0;3;1;1;5;5;1;5;2;5;0;5;0;1;2;2;8;3;4;3;2;2;2;0;10;1;5;2;2;2;1;2;3
